Source,DF,Adjusted SS,Adj MS,F value,p value
Model,14,401.025,28.6446,218.33,0.000
x1,1,6.457,6.4568,49.21,0.000
x2,1,2.068,2.0680,15.76,0.001
x3,1,0.014,0.0141,0.11,0.748
x4,1,2.209,2.2090,16.84,0.001
x2 1,1,10.260,10.2603,78.20,0.000
x2 2,1,0.291,0.2908,2.22,0.157
x2 3,1,0.687,0.6872,5.24,0.037
x2 4,1,3.638,3.6382,27.73,0.000
x1x2,1,12.443,12.4433,94.84,0.000
x1x3,1,2.933,2.9327,22.35,0.000
x1x4,1,18.598,18.5977,141.75,0.000
x2x3,1,0.001,0.0005,0.00,0.951
x2x4,1,2.616,2.6163,19.94,0.000
x3x4,1,1.632,1.6320,12.44,0.003
Error,15,1.968,0.1312,,
Lack-of-ft,10,1.323,0.1323,1.02,0.523
Pure error,5,0.645,0.1291,,
Total,29,402.993,,,
R2= 99.51%,Adj R2,,,,
,= 99.06%,,,,
